team_name,player_name,region,player_id,team_id,player_id_mapped,player_known_flag,rookie_flag,data_available
mibr,tex,Americas,1818,7386,1818,1,0,yes
mibr,zekken,Americas,4004,7386,4004,1,0,yes
mibr,mazino,Americas,7603,7386,7603,1,0,yes
mibr,aspas,Americas,8480,7386,8480,1,0,yes
mibr,verno,Americas,21668,7386,21668,1,0,yes
cloud9,zellsis,Americas,729,188,729,1,0,yes
cloud9,penny,Americas,7716,188,7716,1,0,yes
cloud9,xeppaa,Americas,7871,188,7871,1,0,yes
cloud9,v1c,Americas,17433,188,17433,1,0,yes
cloud9,oxy,Americas,18796,188,18796,1,0,yes
leviatan,kingg,Americas,8549,2359,8549,1,0,yes
leviatan,blowz,Americas,UNKNOWN_PLAYER,2359,,0,1,no
leviatan,sato,Americas,21659,2359,21659,1,0,yes
leviatan,spike,Americas,21661,2359,21661,1,0,yes
leviatan,neon,Americas,4387,2359,,1,0,yes
nrg,brawk,Americas,2172,1034,2172,1,0,yes
nrg,mada,Americas,5132,1034,5132,1,0,yes
nrg,skuba,Americas,11118,1034,11118,1,0,yes
nrg,ethan,Americas,11225,1034,11225,1,0,yes
nrg,keiko,Americas,11494,1034,11494,1,0,yes
loud,pancada,Americas,683,6961,683,1,0,yes
loud,virtyy,Americas,3983,6961,3983,1,0,yes
loud,cauanzin,Americas,6193,6961,6193,1,0,yes
loud,darker,Americas,10557,6961,,1,0,yes
loud,lukxo,Americas,28716,6961,28716,1,0,yes
furia,nerve,Americas,754,2406,,1,0,yes
furia,eeiu,Americas,796,2406,796,1,0,yes
furia,koalanoob,Americas,3722,2406,3722,1,0,yes
furia,artzin,Americas,5957,2406,5957,1,0,yes
furia,alym,Americas,UNKNOWN_PLAYER,2406,,0,1,no
100 thieves,asuna,Americas,601,120,601,1,0,yes
100 thieves,bang,Americas,3880,120,3880,1,0,yes
100 thieves,cryocells,Americas,4147,120,4147,1,0,yes
100 thieves,vora,Americas,20140,120,,1,0,yes
100 thieves,timotino,Americas,UNKNOWN_PLAYER,120,,0,1,no
evil geniuses,c0m,Americas,619,5248,619,1,0,yes
evil geniuses,supamen,Americas,826,5248,826,1,0,yes
evil geniuses,okeanos,Americas,8373,5248,8373,1,0,yes
evil geniuses,dgzin,Americas,8873,5248,8873,1,0,yes
evil geniuses,bao,Americas,14107,5248,,1,0,yes
kru esports,saadhak,Americas,727,2355,727,1,0,yes
kru esports,mwzera,Americas,939,2355,939,1,0,yes
kru esports,less,Americas,8447,2355,8447,1,0,yes
kru esports,silentzz,Americas,11921,2355,11921,1,0,yes
kru esports,dantedeu5,Americas,41135,2355,41135,1,0,yes
g2 esports,babybay,Americas,2170,257,2170,1,0,yes
g2 esports,valyn,Americas,3885,257,3885,1,0,yes
g2 esports,jawgemo,Americas,3993,257,3993,1,0,yes
g2 esports,leaf,Americas,6108,257,7873,1,0,yes
g2 esports,trent,Americas,15500,257,15500,1,0,yes
envy,rossy,Americas,1129,427,1129,1,0,yes
envy,keznit,Americas,2462,427,2462,1,0,yes
envy,p0ppin,Americas,UNKNOWN_PLAYER,427,,0,1,no
envy,demon1,Americas,26171,427,26171,1,0,yes
envy,eggsterr,Americas,UNKNOWN_PLAYER,427,,0,1,no
sentinels,johnqt,Americas,1265,2,1265,1,0,yes
sentinels,jonahp,Americas,4581,2,4581,1,0,yes
sentinels,cortezia,Americas,NOT_FOUND,2,5395,1,0,yes
sentinels,reduxx,Americas,UNKNOWN_PLAYER,2,,0,1,no
sentinels,jerrwin,Americas,UNKNOWN_PLAYER,2,,0,1,no
bbl esports,ros�,EMEA,5565,397,,1,0,yes
bbl esports,crewen,EMEA,12795,397,,1,0,yes
bbl esports,loita,EMEA,UNKNOWN_PLAYER,397,,0,1,no
bbl esports,lar0k,EMEA,UNKNOWN_PLAYER,397,,0,1,no
bbl esports,lovers rock,EMEA,UNKNOWN_PLAYER,397,,0,1,no
fnatic,crashies,EMEA,4,2593,4,1,0,yes
fnatic,boaster,EMEA,438,2593,438,1,0,yes
fnatic,kaajak,EMEA,9554,2593,9554,1,0,yes
fnatic,alfajer,EMEA,9810,2593,9810,1,0,yes
fnatic,veqaj,EMEA,12928,2593,12928,1,0,yes
fut esports,mrfalin,EMEA,8044,1184,8044,1,0,yes
fut esports,yetujey,EMEA,8369,1184,8369,1,0,yes
fut esports,baha,EMEA,10114,1184,,1,0,yes
fut esports,xeus,EMEA,12793,1184,12793,1,0,yes
fut esports,krostaly,EMEA,UNKNOWN_PLAYER,1184,,0,1,no
gentle mates,starxo,EMEA,565,12694,,1,0,yes
gentle mates,glyph,EMEA,4798,12694,,1,0,yes
gentle mates,marteen,EMEA,10307,12694,10307,1,0,yes
gentle mates,bipo,EMEA,18400,12694,,1,0,yes
gentle mates,minny,EMEA,23169,12694,23169,1,0,yes
giantx,cloud,EMEA,4181,14419,4181,1,0,yes
giantx,grubinho,EMEA,5550,14419,5550,1,0,yes
giantx,flickless,EMEA,6959,14419,6959,1,0,yes
giantx,ara,EMEA,11332,14419,11332,1,0,yes
giantx,westside,EMEA,34684,14419,34684,1,0,yes
karmine corp,sheydos,EMEA,1428,8877,1428,1,0,yes
karmine corp,suygetsu,EMEA,2858,8877,2858,1,0,yes
karmine corp,avez,EMEA,5654,8877,5654,1,0,yes
karmine corp,dos9,EMEA,16215,8877,16215,1,0,yes
karmine corp,lewn,EMEA,20144,8877,20144,1,0,yes
natus vincere,shao,EMEA,384,4915,384,1,0,yes
natus vincere,filu,EMEA,4544,4915,4544,1,0,yes
natus vincere,sociablee,EMEA,5568,4915,5568,1,0,yes
natus vincere,ruxic,EMEA,18677,4915,18677,1,0,yes
natus vincere,hiro,EMEA,29867,4915,29867,1,0,yes
team heretics,boo,EMEA,1144,1001,1144,1,0,yes
team heretics,riens,EMEA,10971,1001,10971,1,0,yes
team heretics,wo0t,EMEA,21328,1001,21328,1,0,yes
team heretics,benjyfishy,EMEA,29873,1001,29873,1,0,yes
team heretics,comeback,EMEA,40591,1001,40591,1,0,yes
team liquid,nats,EMEA,457,474,457,1,0,yes
team liquid,purp0,EMEA,1885,474,1885,1,0,yes
team liquid,kamo,EMEA,14681,474,14681,1,0,yes
team liquid,miniboo,EMEA,18350,474,18350,1,0,yes
team liquid,wayne,EMEA,24628,474,,1,0,yes
team vitality,chronicle,EMEA,458,2059,458,1,0,yes
team vitality,unfake,EMEA,4521,2059,4521,1,0,yes
team vitality,derke,EMEA,5022,2059,5022,1,0,yes
team vitality,profek,EMEA,5554,2059,5554,1,0,yes
team vitality,jamppi,EMEA,9780,2059,9780,1,0,yes
ulf esports,sturnn,EMEA,12226,NEW_2026,,1,0,yes
ulf esports,nekky,EMEA,12670,NEW_2026,,1,0,yes
ulf esports,d3mur,EMEA,16447,NEW_2026,,1,0,yes
ulf esports,audaz,EMEA,UNKNOWN_PLAYER,NEW_2026,,0,1,no
ulf esports,favian,EMEA,UNKNOWN_PLAYER,NEW_2026,,0,1,no
pcific esports,cned,EMEA,573,3478,573,1,0,yes
pcific esports,al0rante,EMEA,5292,3478,,1,0,yes
pcific esports,qpert,EMEA,7105,3478,,1,0,yes
pcific esports,seven,EMEA,18409,3478,,1,0,yes
pcific esports,ninja,EMEA,1022,3478,,1,0,yes
detonation focusme,meiy,Pacific,6672,278,6672,1,0,yes
detonation focusme,akame,Pacific,10520,278,13002,1,0,yes
detonation focusme,ssees,Pacific,21438,278,21438,1,0,yes
detonation focusme,caedye,Pacific,UNKNOWN_PLAYER,278,,0,1,no
detonation focusme,yatsuka,Pacific,UNKNOWN_PLAYER,278,,0,1,no
drx,free1ng,Pacific,1916,8185,1916,1,0,yes
drx,mako,Pacific,4462,8185,4462,1,0,yes
drx,beyn,Pacific,4678,8185,4678,1,0,yes
drx,hermes,Pacific,17049,8185,,1,0,yes
drx,hyunmin,Pacific,28400,8185,28400,1,0,yes
full sense,killua,Pacific,13784,4050,13784,1,0,yes
full sense,jitboys,Pacific,13788,4050,13788,1,0,yes
full sense,primmie,Pacific,25255,4050,25255,1,0,yes
full sense,leviathan,Pacific,11440,4050,,1,0,yes
full sense,thyy,Pacific,42901,4050,42901,1,0,yes
gen.g,lakia,Pacific,773,17,,1,0,yes
gen.g,t3xture,Pacific,9196,17,9196,1,0,yes
gen.g,ash,Pacific,19664,17,25017,1,0,yes
gen.g,karon,Pacific,16191,17,34974,1,0,yes
gen.g,zynx,Pacific,UNKNOWN_PLAYER,17,,0,1,no
global esports,autumn,Pacific,872,918,872,1,0,yes
global esports,udotan,Pacific,4428,918,4428,1,0,yes
global esports,kr1stal,Pacific,5796,918,5796,1,0,yes
global esports,xavi8k,Pacific,7754,918,,1,0,yes
global esports,patmen,Pacific,13744,918,13744,1,0,yes
paper rex,jinggg,Pacific,7378,624,7378,1,0,yes
paper rex,invy,Pacific,8504,624,8504,1,0,yes
